energia_ren,pais,year,percentagem,mio_t_co2eq,meta_eu
REN_HEAT_CL,BE,2006,3.812,140.2172,38.688
REN_HEAT_CL,BG,2006,14.79,51.9171,27.71
REN_HEAT_CL,CY,2006,10.434,9.41115,32.066
REN_HEAT_CL,CZ,2006,11.234,139.37525,31.266
REN_HEAT_CL,DE,2006,8.41,1021.1851,34.09
REN_HEAT_CL,DK,2006,23.661,81.33923,18.839
REN_HEAT_CL,EE,2006,30.838,14.56781,11.661999999999999
REN_HEAT_CL,EL,2006,13.095,129.65577,29.405
REN_HEAT_CL,ES,2006,11.376,380.87092,31.124000000000002
REN_HEAT_CL,FI,2006,41.409,43.00939,1.091000000000001
REN_HEAT_CL,FR,2006,11.696,484.56095,30.804000000000002
REN_HEAT_CL,HR,2006,29.069,22.42895,13.431000000000001
REN_HEAT_CL,HU,2006,11.38,71.94079,31.119999999999997
REN_HEAT_CL,IE,2006,3.592,73.7122,38.908
REN_HEAT_CL,IT,2006,10.094,535.18449,32.406
REN_HEAT_CL,LT,2006,29.227,19.92912,13.273
REN_HEAT_CL,LU,2006,3.63,12.35337,38.87
REN_HEAT_CL,LV,2006,42.594,3.81565,-0.0940000000000012
REN_HEAT_CL,MT,2006,1.363,3.03254,41.137
REN_HEAT_CL,NL,2006,2.7,213.44383,39.8
REN_HEAT_CL,PL,2006,10.168,355.99438,32.332
REN_HEAT_CL,PT,2006,34.234,79.90483,8.265999999999998
REN_HEAT_CL,RO,2006,17.582,118.22075,24.918
REN_HEAT_CL,SE,2006,52.496,2.77105,-9.996000000000002
REN_HEAT_CL,SI,2006,24.354,13.67208,18.146
REN_HEAT_CL,SK,2006,4.451,44.34489,38.049
REN_TRA,AT,2006,7.532,82.20401,34.968
REN_TRA,BE,2006,0.676,140.2172,41.824
REN_TRA,BG,2006,1.049,51.9171,41.451
REN_TRA,CY,2006,0.0,9.41115,42.5
REN_TRA,CZ,2006,1.073,139.37525,41.427
REN_TRA,DE,2006,6.701,1021.1851,35.799
REN_TRA,DK,2006,0.521,81.33923,41.979
REN_TRA,EE,2006,0.184,14.56781,42.316
REN_TRA,EL,2006,0.735,129.65577,41.765
REN_TRA,ES,2006,0.837,380.87092,41.663
REN_TRA,FI,2006,0.956,43.00939,41.544
REN_TRA,FR,2006,0.792,484.56095,41.708
REN_TRA,HR,2006,1.005,22.42895,41.495
REN_TRA,HU,2006,1.217,71.94079,41.283
REN_TRA,IE,2006,0.102,73.7122,42.398
REN_TRA,IT,2006,0.995,535.18449,41.505
REN_TRA,LT,2006,1.905,19.92912,40.595
REN_TRA,LU,2006,0.189,12.35337,42.311
REN_TRA,LV,2006,2.165,3.81565,40.335
REN_TRA,MT,2006,0.0,3.03254,42.5
REN_TRA,NL,2006,0.85,213.44383,41.65
REN_TRA,PL,2006,1.817,355.99438,40.683
REN_TRA,PT,2006,1.631,79.90483,40.869
REN_TRA,RO,2006,1.538,118.22075,40.962
REN_TRA,SE,2006,7.509,2.77105,34.991
REN_TRA,SI,2006,1.056,13.67208,41.444
REN_TRA,SK,2006,3.295,44.34489,39.205
REN,AT,2007,28.144,79.92043,14.356000000000002
REN,BE,2007,3.14,136.85047,39.36
REN,BG,2007,9.098,55.27874,33.402
REN,CY,2007,4.001,9.75961,38.499
REN,CZ,2007,7.895,141.29589,34.605000000000004
REN,DE,2007,10.039,985.36891,32.461
REN,DK,2007,17.747,76.77631,24.753
REN,EE,2007,17.139,18.44739,25.361
REN,EL,2007,8.249,133.70237,34.251
REN,ES,2007,9.667,393.98758,32.833
REN,FI,2007,29.561,50.85254,12.939
REN,FR,2007,9.426,479.41033,33.074
REN,HR,2007,22.161,25.04552,20.339
REN,HU,2007,8.575,69.97499,33.925
REN,IE,2007,3.497,72.66768,39.003
REN,IT,2007,9.807,549.94092,32.693
REN,LT,2007,16.482,20.08264,26.018
REN,LU,2007,2.725,11.85849,39.775
REN,LV,2007,29.615,5.21349,12.885000000000002
REN,MT,2007,0.177,3.12539,42.323
REN,NL,2007,3.298,212.41737,39.202
REN,PL,2007,6.903,368.51765,35.597
REN,PT,2007,21.907,77.20876,20.593
REN,RO,2007,18.195,115.33817,24.305
REN,SE,2007,43.224,0.74779,-0.7239999999999966
REN,SI,2007,19.675,13.44462,22.825
REN,SK,2007,7.766,43.06656,34.734
REN_ELC,AT,2007,65.666,79.92043,-23.165999999999997
REN_ELC,BE,2007,3.662,136.85047,38.838
REN_ELC,BG,2007,8.899,55.27874,33.601
REN_ELC,CY,2007,0.074,9.75961,42.426
REN_ELC,CZ,2007,4.621,141.29589,37.879
REN_ELC,DE,2007,13.727,985.36891,28.773
REN_ELC,DK,2007,25.001,76.77631,17.499
